[0x0000487c] | Undefined            | INFO  | 2020-06-26 16:25:51,248 | --------------------------------------------------------------------------------
[0x0000487c] | Undefined            | INFO  | 2020-06-26 16:25:51,248 | Loaded log config from C:\Users\goldt\AppData\Roaming\Blackmagic Design\DaVinci Resolve\Preferences\log-conf.xml
[0x0000487c] | Undefined            | INFO  | 2020-06-26 16:25:51,249 | --------------------------------------------------------------------------------
[0x0000487c] | Main                 | INFO  | 2020-06-26 16:25:51,251 | Running DaVinci Resolve v16.2.3.015 (Windows/MSVC)
[0x0000487c] | Main                 | INFO  | 2020-06-26 16:25:52,049 | Updating display GPU information...
[0x0000487c] | Main                 | INFO  | 2020-06-26 16:25:52,065 | Found correct name from registry for device : I, provider Intel Corporation
[0x0000487c] | Main                 | INFO  | 2020-06-26 16:25:52,066 | Found Intel Device: Intel(R) HD Graphics 4600
[0x0000487c] | Main                 | INFO  | 2020-06-26 16:25:52,066 | GPU Intel(R) HD Graphics 4600 is used for display
[0x0000487c] | Main                 | INFO  | 2020-06-26 16:25:52,406 | Found CUDA Device: NVIDIA GeForce GT 750M
[0x0000487c] | Main                 | INFO  | 2020-06-26 16:25:52,467 | GPUs detected: 1 integrated, 1 discrete, 2 OpenCL.Graphics interop capable.
[0x0000487c] | Main                 | INFO  | 2020-06-26 16:25:52,467 | Detected uptime 267201s
[0x0000487c] | Main                 | INFO  | 2020-06-26 16:25:52,467 | GPU Name = 'NVIDIA GeForce GT 750M', Main display = 0
[0x0000487c] | Main                 | INFO  | 2020-06-26 16:25:52,468 | 1 NVIDIA GPUs (excluding display GPU) found. Using CUDA for processing.
[0x0000487c] | Main                 | INFO  | 2020-06-26 16:25:52,468 | GLmap capable. GPUs: 1 discrete, 0 integrated, 0 external. Auto mapping, CUDA processing, main display not on external GPU.
[0x0000487c] | Main                 | INFO  | 2020-06-26 16:25:52,468 | Setting LsManager.3.NumGPUs = 1
[0x0000487c] | IO                   | INFO  | 2020-06-26 16:25:52,468 | RED InitializeSdk with library path at C:\ProgramData\Blackmagic Design\DaVinci Resolve\Support\Libraries
[0x0000487c] | IO                   | INFO  | 2020-06-26 16:25:52,585 | R3DAPI 7.3.2-45A15 (20200609 W64S) R3DSDK 7.3.2-45A15 (20200609 W64D C3B3) RED CUDA 7.3.2-49499 (20200609) [C:\ProgramData\Blackmagic Design\DaVinci Resolve\Support\Libraries\] init is successful
[0x0000487c] | Main                 | INFO  | 2020-06-26 16:25:52,586 | 0 RED rocket cards available
[0x0000487c] | Main                 | INFO  | 2020-06-26 16:25:52,586 | Setting Local.DtManager.1.Red.Threads = 0
